File,Width (m),Height (m),Depth (m)
001_chips_can,0.07945316,0.24547578,0.077630505
002_master_chef_can,0.102403,0.140177,0.102377
003_cracker_box,0.0718,0.213437,0.164036
004_sugar_box,0.049496,0.176015,0.094162
005_tomato_soup_can,0.067911,0.101855,0.06761201
006_mustard_bottle,0.097197995,0.191294,0.066621
007_tuna_fish_can,0.085495,0.033538,0.08554
008_pudding_box,0.137938,0.038889,0.128701
009_gelatin_box,0.089404,0.030074,0.101108
010_potted_meat_can,0.102084994,0.08353101,0.060103003
011_banana,0.108942,0.036739998,0.17844701
012_strawberry,0.045224,0.045649998,0.045286
013_apple,0.075448,0.071852,0.074848995
014_lemon,0.060588,0.053016998,0.059299
015_peach,0.062123,0.058645003,0.062632
016_pear,0.066546,0.065662,0.100422
017_orange,0.072141,0.071352,0.073986
018_plum,0.05719,0.053039998,0.054894
019_pitcher_base,0.149134,0.242387,0.144829
021_bleach_cleanser,0.102432996,0.25058,0.067699
022_windex_bottle,0.082727,0.26967198,0.095428
024_bowl,0.16146299,0.055009,0.161164
025_mug,0.116984,0.081303,0.093131
026_sponge,0.079146996,0.019007,0.112113
028_skillet_lid,0.268262,0.075996995,0.26890898
029_plate,0.260075,0.026723001,0.26110202
030_fork,0.19755599,0.015883999,0.02711
031_spoon,0.18596,0.020892,0.082929
032_knife,0.21483001,0.022614,0.020605002
033_spatula,0.305522,0.032933,0.124593996
035_power_drill,0.184145,0.057293,0.18751499
036_wood_block,0.103916995,0.206003,0.103464
037_scissors,0.09608,0.015671,0.201524
038_padlock,0.066973,0.029141001,0.068055004
040_large_marker,0.021022001,0.018895,0.12092599
041_small_marker,0.042771805,0.0788369,0.043230254
042_adjustable_wrench,0.124799,0.014653999,0.18104601
043_phillips_screwdriver,0.194736,0.035515,0.106967
044_flat_screwdriver,0.161871,0.035041,0.156885
048_hammer,0.1822,0.032862,0.332722
050_medium_clamp,0.088926,0.026056001,0.076784
051_large_clamp,0.120041,0.039171997,0.171074
052_extra_large_clamp,0.20981601,0.036262,0.164344
053_mini_soccer_ball,0.127852,0.125587,0.127837
054_softball,0.09537,0.094591,0.096174
055_baseball,0.073078,0.072563,0.073712
056_tennis_ball,0.066965,0.066456996,0.067030005
057_racquetball,0.055778,0.055574,0.056056
058_golf_ball,0.042679,0.042375,0.042721
059_chain,0.31031102,0.024756,0.307185
061_foam_brick,0.05256,0.051187,0.077874
062_dice,0.017158,0.017554,0.017079
063-a_marbles,0.086803004,0.071445,0.077328
063-b_marbles,0.035014,0.034488,0.035032004
063-d_marbles,0.023687132,0.017941523,0.023840168
065-a_cups,0.057086,0.061516,0.057425
065-b_cups,0.060959,0.063965,0.060944
065-c_cups,0.064973995,0.066556,0.065102994
065-d_cups,0.070689,0.06893,0.070703
065-e_cups,0.075543,0.070778005,0.075274
065-f_cups,0.08074,0.072178,0.080872
065-g_cups,0.086818,0.073964,0.087671004
065-h_cups,0.091495,0.075063,0.091616
065-i_cups,0.098121,0.075441,0.097972006
065-j_cups,0.102403,0.075489,0.10299499
070-a_colored_wood_blocks,0.142097,0.165084,0.141175
070-b_colored_wood_blocks,0.034929,0.025847,0.034932002
071_nine_hole_peg_test,0.167529,0.040677,0.191112
072-a_toy_airplane,0.255184,0.183438,0.262932
072-b_toy_airplane,0.120329,0.059260998,0.181604
072-c_toy_airplane,0.030651,0.066717,0.030643
072-d_toy_airplane,0.030671999,0.066412,0.030708998
072-e_toy_airplane,0.030758,0.066157,0.030772999
072-f_toy_airplane,0.025465377,0.035158653,0.024909034
072-h_toy_airplane,0.0758149,0.093219735,0.08155361
072-i_toy_airplane,0.033308506,0.064765126,0.03236311
072-j_toy_airplane,0.034083538,0.059265766,0.03517317
072-k_toy_airplane,0.13839243,0.1215231,0.10950075
073-a_lego_duplo,0.064118996,0.023928,0.032515
073-b_lego_duplo,0.036888,0.043316,0.036759
073-c_lego_duplo,0.033896,0.023717001,0.064821
073-d_lego_duplo,0.054488998,0.043138,0.056185998
073-e_lego_duplo,0.068932,0.043185998,0.099809
073-f_lego_duplo,0.036605,0.043422,0.036683995
073-g_lego_duplo,0.133609,0.059998002,0.304086
073-h_lego_duplo,0.06318724,0.03600561,0.07029551
073-i_lego_duplo,0.04366169,0.04564574,0.043406073
073-j_lego_duplo,0.040737398,0.043842524,0.040622767
073-k_lego_duplo,0.04055658,0.043911166,0.040968843
073-l_lego_duplo,0.04276729,0.044700913,0.04396943
073-m_lego_duplo,0.17453349,0.11011805,0.1815984
076_timer,0.11451521,0.061163604,0.11343496
077_rubiks_cube,0.075737,0.057926,0.076116994
